index,math score,reading score,writing score
400,59,54,67
401,53,43,43
402,49,65,55
403,88,99,100
404,54,59,62
405,63,73,68
406,65,65,63
407,82,80,77
408,52,57,56
409,87,84,85
410,70,71,74
411,84,83,78
412,71,66,60
413,63,67,67
414,51,72,79
415,84,73,69
416,71,74,68
417,74,73,67
418,68,59,62
419,57,56,54
420,82,93,93
421,57,58,64
422,47,58,67
423,59,85,80
424,41,39,34
425,62,67,62
426,86,83,86
427,69,71,65
428,65,59,53
429,68,63,54
430,64,66,59
431,61,72,70
432,61,56,55
433,47,59,50
434,73,66,66
435,50,48,53
436,75,68,64
437,75,66,73
438,70,56,51
439,89,88,82
440,67,81,79
441,78,81,80
442,59,73,69
443,73,83,76
444,79,82,73
445,67,74,77
446,69,66,60
447,86,81,80
448,47,46,42
449,81,73,72
450,64,85,85
451,100,92,97
452,65,77,74
453,65,58,49
454,53,61,62
455,37,56,47
456,79,89,89
457,53,54,48
458,100,100,100
459,72,65,68
460,53,58,55
461,54,54,45
462,71,70,76
463,77,90,91
464,75,58,62
465,84,87,91
466,26,31,38
467,72,67,65
468,77,88,85
469,91,74,76
470,83,85,90
471,63,69,74
472,68,86,84
473,59,67,61
474,90,90,91
475,71,76,83
476,76,62,66
477,80,68,72
478,55,64,70
479,76,71,67
480,73,71,68
481,52,59,56
482,68,68,61
483,59,52,46
484,49,52,54
485,70,74,71
486,61,47,56
487,60,75,74
488,64,53,57
489,79,82,82
490,65,85,76
491,64,64,70
492,83,83,90
493,81,88,90
494,54,64,68
495,68,64,66
496,54,48,52
497,59,78,76
498,66,69,68
499,76,71,72
